"Food","Category"
"Abalone","Enjoy"
"Acai Berry","Enjoy"
"Adzuki Beans ","Superfood"
"Alfalfa Sprouts","Avoid"
"Allspice","Enjoy"
"Allulose","Enjoy"
"Almond Milk (Unsweetened)","Enjoy"
"Almonds","Enjoy"
"Aloe Vera Juice","Enjoy"
"Amaranth","Avoid"
"Anchovies","Avoid"
"Apple","Superfood"
"Apple Cider Vinegar","Superfood"
"Apricot","Enjoy"
"Artichoke","Avoid"
"Arugula","Minimize"
"Asparagus","Avoid"
"Avocado","Enjoy"
"Avocado Oil","Enjoy"
"Balsamic Vinegar","Enjoy"
"Bamboo Shoots","Enjoy"
"Banana","Enjoy"
"Barley","Avoid"
"Basil","Enjoy"
"Bay Leaf","Enjoy"
"Bee Pollen","Superfood"
"Beech Mushroom","Superfood"
"Beef (Fatty)","Avoid"
"Beef (Lean)","Avoid"
"Beet Greens","Enjoy"
"Beet Sprouts","Avoid"
"Beets","Enjoy"
"Bell Pepper","Enjoy"
"Bilberry","Enjoy"
"Bitter Melon","Enjoy"
"Black Beans","Avoid"
"Black Beluga Lentils","Enjoy"
"Black Eyed Peas","Enjoy"
"Black Pepper","Enjoy"
"Black Tea","Enjoy"
"Blackberry","Enjoy"
"Blue Cheese","Enjoy"
"Blueberry","Enjoy"
"Bok Choy","Minimize"
"Bone Broth (Beef)","Superfood"
"Bone Broth (Fish)","Superfood"
"Bone Broth (Poultry)","Enjoy"
"Boysenberry","Enjoy"
"Brazil Nuts","Enjoy"
"Breadfruit","Minimize"
"Broccoli","Avoid"
"Broccoli Sprouts","Avoid"
"Brown Lentils","Enjoy"
"Brown Rice","Enjoy"
"Brussels Sprouts","Avoid"
"Buckwheat","Avoid"
"Buffalo Meat","Avoid"
"Bulgur","Avoid"
"Burdock Root","Enjoy"
"Butter (Cow Milk)","Enjoy"
"Cabbage","Avoid"
"Cane Sugar","Minimize"
"Cantaloupe","Enjoy"
"Capers","Enjoy"
"Caraway Seed","Enjoy"
"Cardamom","Enjoy"
"Cardoon","Enjoy"
"Carob","Enjoy"
"Carp","Enjoy"
"Carrot","Enjoy"
"Cashew Milk","Enjoy"
"Cashews","Avoid"
"Cassava","Enjoy"
"Catfish","Enjoy"
"Cauliflower","Minimize"
"Caviar or Roe","Enjoy"
"Cayenne Pepper","Enjoy"
"Celeriac","Enjoy"
"Celery","Enjoy"
"Celery Seed","Enjoy"
"Chamomile Tea","Enjoy"
"Chanterelle Mushrooms","Enjoy"
"Chard","Superfood"
"Chayote Squash","Enjoy"
"Cheese (Cow Milk)","Minimize"
"Cherry","Enjoy"
"Chervil","Enjoy"
"Chestnuts","Enjoy"
"Chia Seeds","Enjoy"
"Chicken (Dark Meat)","Enjoy"
"Chicken (White Meat)","Enjoy"
"Chickpeas","Enjoy"
"Chicory Root","Avoid"
"Chili Powder","Enjoy"
"Cilantro","Enjoy"
"Cinnamon","Superfood"
"Clams","Avoid"
"Cloves","Enjoy"
"Cocoa (Unsweetened)","Enjoy"
"Coconut Meat","Enjoy"
"Coconut Milk (Unsweetened)","Enjoy"
"Coconut Oil","Enjoy"
"Coconut Sugar","Minimize"
"Coconut Water","Enjoy"
"Cod","Minimize"
"Coffee","Minimize"
"Collard Greens","Enjoy"
"Coriander","Enjoy"
"Corn","Enjoy"
"Cornish Game Hen","Enjoy"
"Cotija Cheese","Enjoy"
"Couscous","Avoid"
"Cow Milk","Minimize"
"Crab","Avoid"
"Cranberry","Superfood"
"Crayfish","Enjoy"
"Cucumber","Enjoy"
"Cumin","Enjoy"
"Currant","Enjoy"
"Daikon","Avoid"
"Dandelion Greens","Avoid"
"Dandelion Tea ","Avoid"
"Dates","Enjoy"
"Dill (Fresh)","Enjoy"
"Dragon Fruit","Enjoy"
"Duck","Enjoy"
"Eel","Enjoy"
"Egg Whites (Chicken or Duck)","Minimize"
"Egg Yolk (Chicken or Duck)","Minimize"
"Eggplant","Enjoy"
"Elderberry (Boiled)","Enjoy"
"Emu","Enjoy"
"Endive","Superfood"
"Enoki Mushrooms","Superfood"
"Escarole","Enjoy"
"Farro","Enjoy"
"Fava Beans","Enjoy"
"Fennel Bulb","Superfood"
"Fennel Seed","Enjoy"
"Fenugreek Seed","Enjoy"
"Fig","Enjoy"
"Flax Oil","Enjoy"
"Flax Seeds","Enjoy"
"Freekeh","Enjoy"
"Garlic","Minimize"
"Ghee","Superfood"
"Ginger","Superfood"
"Goat","Avoid"
"Goat Cheese","Enjoy"
"Goat Milk","Minimize"
"Goji Berry","Enjoy"
"Goose","Enjoy"
"Gooseberry","Enjoy"
"Gorgonzola Cheese","Enjoy"
"Grape Leaves","Enjoy"
"Grape Seed Oil","Enjoy"
"Grapefruit","Superfood"
"Grapes","Enjoy"
"Green Beans","Enjoy"
"Green Lentils","Enjoy"
"Green Onion (greens only)","Minimize"
"Green Tea","Superfood"
"Guava","Enjoy"
"Haddock","Avoid"
"Halibut","Minimize"
"Hazelnuts","Enjoy"
"Heavy Cream (Cow Milk)","Enjoy"
"Hemp Hearts","Avoid"
"Hemp Milk","Avoid"
"Hemp Protein Powder","Avoid"
"Herbal Tea","Enjoy"
"Herring","Avoid"
"Hickory Nuts","Enjoy"
"Honey","Minimize"
"Honeydew Melon","Enjoy"
"Horseradish","Minimize"
"Hot Pepper","Superfood"
"Huckleberry","Enjoy"
"Jackfruit","Enjoy"
"Jackfruit Seeds","Enjoy"
"Jerusalem Artichoke","Avoid"
"Jicama","Avoid"
"Kale","Minimize"
"Kamut","Avoid"
"Kefir (Cow Milk)","Minimize"
"Kidney Beans","Enjoy"
"Kimchi","Superfood"
"Kiwi","Superfood"
"Kohlrabi","Minimize"
"Kombucha","Enjoy"
"Kumquat","Enjoy"
"Lamb","Avoid"
"Lavender Tea","Enjoy"
"Leek","Minimize"
"Lemon","Enjoy"
"Lemon Balm Tea","Enjoy"
"Lettuce","Enjoy"
"Lima Beans","Enjoy"
"Lime","Superfood"
"Lion's Mane Mushroom","Enjoy"
"Lobster","Minimize"
"Loganberries","Enjoy"
"Lotus Seeds","Enjoy"
"Lychee","Enjoy"
"Macadamia Nuts","Enjoy"
"Mace","Enjoy"
"Mackerel","Minimize"
"Mahi Mahi","Enjoy"
"Maitake Mushrooms","Superfood"
"Mango","Enjoy"
"Mangosteen","Enjoy"
"Maple Syrup","Minimize"
"Marionberry","Enjoy"
"Marjoram","Enjoy"
"Matcha","Superfood"
"MCT Oil","Enjoy"
"Millet","Enjoy"
"Miso","Superfood"
"Molasses","Minimize"
"Morel Mushrooms","Enjoy"
"Mulberries","Enjoy"
"Mung Bean Sprouts","Avoid"
"Mussels","Minimize"
"Mustard Greens","Avoid"
"Mustard Seed","Enjoy"
"Natto","Superfood"
"Navy Beans","Enjoy"
"Nectarine","Minimize"
"Nettle Leaf Tea","Enjoy"
"Nutmeg","Enjoy"
"Nutritional Yeast","Enjoy"
"Oat Milk","Enjoy"
"Oats","Superfood"
"Okra","Enjoy"
"Olive Oil","Superfood"
"Olives","Superfood"
"Onion","Avoid"
"Oolong Tea","Enjoy"
"Orange","Enjoy"
"Oregano","Superfood"
"Ostrich","Enjoy"
"Oyster Mushrooms","Superfood"
"Oysters","Minimize"
"Paneer","Enjoy"
"Papaya","Superfood"
"Paprika","Enjoy"
"Parmesan Cheese","Enjoy"
"Parsley","Enjoy"
"Parsnip","Enjoy"
"Passionfruit","Enjoy"
"Pea Protein Powder","Superfood"
"Peach","Enjoy"
"Peanuts","Minimize"
"Pear","Enjoy"
"Peas","Enjoy"
"Pecans","Avoid"
"Pepino Melon","Enjoy"
"Peppermint (Fresh)","Enjoy"
"Perch","Enjoy"
"Persimmon","Enjoy"
"Pheasant","Enjoy"
"Pickle (Unsweetened)","Enjoy"
"Pine Nuts","Enjoy"
"Pineapple","Superfood"
"Pinto Beans","Avoid"
"Pistachio","Enjoy"
"Plantain","Enjoy"
"Plum","Enjoy"
"Poblano Pepper","Superfood"
"Pomegranate","Superfood"
"Poppy Seed","Enjoy"
"Pork (Lean)","Enjoy"
"Portabella Mushrooms","Enjoy"
"Potato","Enjoy"
"Prunes","Enjoy"
"Pummelo","Enjoy"
"Pumpkin","Enjoy"
"Pumpkin Seeds","Enjoy"
"Purple Kale","Minimize"
"Puy Lentils","Enjoy"
"Quail","Enjoy"
"Quinoa","Enjoy"
"Radicchio","Enjoy"
"Radish","Minimize"
"Radish Sprouts","Avoid"
"Raspberry","Superfood"
"Raspberry Leaf Tea","Enjoy"
"Red/Yellow Lentils","Enjoy"
"Rhubarb","Enjoy"
"Rice Milk (Unsweetened)","Enjoy"
"Rice Noodles","Enjoy"
"Rice Protein Powder","Enjoy"
"Ricotta or Cottage Cheese","Minimize"
"Rosemary (Fresh)","Enjoy"
"Rutabaga","Enjoy"
"Sacha Inchi Seeds","Superfood"
"Saffron","Enjoy"
"Sage","Enjoy"
"Salmon","Superfood"
"Salmonberry","Enjoy"
"Salt","Minimize"
"Sardines","Avoid"
"Sauerkraut","Superfood"
"Savory","Enjoy"
"Scallops","Avoid"
"Sea Bass","Enjoy"
"Seaweed","Minimize"
"Sesame Oil","Enjoy"
"Sesame Seeds","Enjoy"
"Shallot","Avoid"
"Sheep Cheese","Enjoy"
"Sheep Milk","Minimize"
"Shiitake Mushrooms","Superfood"
"Shrimp","Avoid"
"Snap Peas","Enjoy"
"Snapper","Enjoy"
"Sour Cherries","Enjoy"
"Soy Milk (Unsweetened)","Enjoy"
"Soy Protein Powder","Enjoy"
"Soy Sauce","Enjoy"
"Soybeans","Superfood"
"Spearmint (Fresh)","Enjoy"
"Spinach","Minimize"
"Spirulina","Minimize"
"Squid","Minimize"
"Star Fruit","Enjoy"
"Stevia","Enjoy"
"Strawberry","Superfood"
"Sunflower Seeds","Enjoy"
"Sweet Potato or Yam","Superfood"
"Swordfish","Minimize"
"Tangerine","Enjoy"
"Tapioca","Minimize"
"Taro","Enjoy"
"Tarragon","Enjoy"
"Tempeh","Superfood"
"Thyme","Enjoy"
"Tofu","Superfood"
"Tomatillo","Enjoy"
"Tomato","Enjoy"
"Triticale","Avoid"
"Trout","Minimize"
"Tuna","Avoid"
"Turbot","Enjoy"
"Turkey (Dark Meat)","Avoid"
"Turkey (White Meat)","Avoid"
"Turmeric","Avoid"
"Turnip","Avoid"
"Vanilla Extract","Enjoy"
"Venison or Elk","Enjoy"
"Vinegar (Unsweetened)","Enjoy"
"Walnut Oil","Superfood"
"Walnuts","Enjoy"
"Water Chestnuts","Enjoy"
"Watercress","Minimize"
"Watermelon","Avoid"
"Wheatgrass","Enjoy"
"Whey Protein Powder","Enjoy"
"White Mulberry Leaf Tea","Enjoy"
"White Mushroom","Superfood"
"White Rice","Minimize"
"White Tea","Superfood"
"Whole Grain Rye","Avoid"
"Whole Grain Wheat","Avoid"
"Wild Rice","Enjoy"
"Winter Squash","Enjoy"
"Yellow Squash","Enjoy"
"Yogurt (coconut, plain)","Enjoy"
"Yogurt (Cow Milk, Plain)","Minimize"
"Yogurt (soy, plain)","Superfood"
"Zucchini","Enjoy"